prompt,response,profileid,targetagegroup,genderidentity,educationbackground,targetprofession,digitalliteracy,georegion,householdincomestatus,targetrole,promptintenttype,reasoningcomplexity,geographiccontext,sensitiveinformationpresent,vulnerablegrouptargeted,confidencescore,servicedomain,subservicedomain,topic,pageurl,sourceurl,sourcedomain,sourcelicense,documenttype,datecreated,language,inputfile,servicedomain_norm,servicedomain_raw,stratum,generated_response
"As a teacher, I need to know the difference between the drivers' hours rules for goods vehicles and buses or coaches.","The drivers' hours rules for goods vehicles and buses or coaches are different. Goods vehicle drivers must follow working time rules for goods vehicles, while bus or coach drivers must follow working time rules for buses or coaches. These rules cover the maximum number of hours you can drive and the breaks you need to take. The rules also depend on the type of vehicle you're driving and the country you're driving in. It's important to understand which rules apply to you to avoid breaking the law.",dd6b5c97c8,under18,male,tertiary,teacher,high,England,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,drivers-hours,drivers-hours,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1299.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1299.txt,transport,transport,Driving and transport | instructional | medium | UK-wide | False | False,"The drivers’ hours rules are different depending on whether the vehicle is used for goods (like lorries) or for carrying passengers (like buses or coaches). The main rules fall under either GB domestic rules or EU/UK (retained EU) rules, depending on the type of driving.

### For Goods Vehicles (like lorries)
If you’re driving a goods vehicle over 3.5 tonnes:

- **EU/UK rules** usually apply.
- You must not drive more than:
  - 9 hours a day (can be extended to 10 hours twice a week)
  - 56 hours a week
  - 90 hours in any 2 consecutive weeks
- You must take:
  - A 45-minute break after 4.5 hours of driving
  - Daily and weekly rest periods

Lighter goods vehicles or those used only in the UK might follow **GB domestic rules**, which are a bit simpler.

### For Buses or Coaches
If you’re driving a vehicle that carries passengers:

- **EU/UK rules** apply to most long-distance or international journeys.
- Driving limits are similar to goods vehicles: 9–10 hours a day, 56 hours a week.
- Drivers must take breaks and rest periods the same way.

However, if you drive a local bus service (routes under 50km), **GB domestic rules** may apply, which have different daily driving limits and break requirements.

### Key Differences
- **Type of work**: Passengers vs goods
- **Vehicle weight and type** matter
- **Route length** (especially for buses/coaches) affects which rules apply
- **Break requirements and rest times** are similar under EU/UK rules, but differ under GB domestic rules

For detailed guidance and to check which rules apply to a specific case, visit: [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)"
How do I know if my electric bike needs vehicle approval?,"Your electric bike needs vehicle approval if it can be propelled up to 15.5 mph without pedalling, such as a 'twist and go' bike, or if it does not meet the EAPC rules. This approval should have been done by the manufacturer or importer before you bought it. If it hasn't been approved, you can apply for Motorcycle single vehicle approval (MSVA). Approval markings should be visible on the bike, typically including an approval number.",a1fa9b8742,under18,female,secondary,retired,medium,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,vehicles,electric bikes,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1461.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1461.txt,transport,transport,Driving and transport | instructional | medium | UK-wide | False | False,"Most electric bikes (also called *electrically assisted pedal cycles* or *EAPCs*) do **not** need vehicle approval if they meet these rules:

1. The bike must have pedals that can be used to move it.
2. The motor should:
   - Give a power output of no more than 250 watts.
   - Stop giving power when the bike reaches 15.5 mph (25 km/h).

If your electric bike meets these conditions, it counts as an EAPC and is treated like a normal bicycle. You **do not** need to register it, tax it, or get insurance.

However, if your bike:
- Can go faster than 15.5 mph with help from the motor, or
- Has a motor over 250 watts, or
- Can be used with the motor alone (without pedalling),

then it **does not** qualify as an EAPC. This kind of bike is classed as a motor vehicle and needs vehicle approval. You would also need to:
- Register it,
- Get insurance,
- Have a driving licence,
- Wear a helmet, and
- Use it only on roads (not cycle paths or pavements).

To check or apply for vehicle approval, use the DVLA guidance or visit:  
[www.gov.uk/vehicle-approval](https://www.gov.uk/vehicle-approval)

If you're unsure about your bike's specifications, check the manufacturer’s label on the frame or ask the seller. You can also contact DVLA for advice."
What should I do if I don't have the V5C log book when buying a vehicle?,"If you don't have the V5C log book when buying a vehicle, you can get a new one for £25. This is necessary to register the vehicle with the DVLA. You should also check the vehicle's details against the DVLA's information to ensure everything matches. Without the log book, you might face difficulties in registering the vehicle or proving ownership. Make sure to follow these steps to complete the registration process smoothly.",7c23f79636,under18,male,tertiary,student,low,England,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,Vehicle Registration,Vehicle Registration,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1180.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1180.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"If the seller doesn’t have the V5C log book (also known as the vehicle log book), it’s risky to buy the vehicle. The V5C proves who the registered keeper is—it shows the person responsible for registering and taxing the vehicle, but not necessarily the legal owner.

Here’s what to do:

1. **Ask the seller why they don’t have the V5C.** If it’s lost, they should apply for a replacement **before** you buy the car. They can do this using form V62, which costs £25.

2. **Do not pay for the vehicle unless you’re confident the seller is genuine.** Without the V5C, you won’t have confirmation that the person selling it is the registered keeper.

3. **You can apply for a V5C yourself if you’ve already bought the vehicle**, but only do this if you’re confident the sale is legit. You’ll need to complete form V62 and send it with a bill of sale or receipt.

4. **Check the vehicle’s history before buying.** Use the free service: [www.gov.uk/check-mot-history](https://www.gov.uk/check-mot-history) and [www.gov.uk/get-vehicle-information-from-dvla](https://www.gov.uk/get-vehicle-information-from-dvla). You’ll need the registration number.

5. **Avoid dealing in cash.** It’s safer to use a traceable payment method and keep a receipt.

For more guidance, visit: [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)

If you're unsure, it's safest to walk away and buy a vehicle that comes with the proper documents."
Can I pay a DVSA roadside fine by post and what details are required?,"Yes, you can pay a DVSA roadside fine by post if you're a UK driver or operator. You need to send a cheque or postal order made payable to 'DVSA Fixed Penalties Office' and include your payment code on the back. The address for payment is DVSA Fixed Penalties Office, Ellipse Padley Road, Swansea SA1 8AN. This method is suitable for those who prefer to handle payments through the mail rather than online or by phone.",bb5f5236a3,18-25,female,tertiary,retail,high,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,driving,paying fines,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1345.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1345.txt,transport,transport,Driving and transport | instructional | medium | UK-wide | False | False,"Yes, you can pay a DVSA roadside fine by post.

To do this, you’ll need:

1. The fixed penalty notice (FPN) reference number.
2. Your name and address.
3. The vehicle registration number.
4. A cheque or postal order for the fine amount, made payable to ‘DVSA’.

**How to pay by post:**

1. Write your details clearly on the back of the cheque or postal order.
2. Send it along with the payment slip from the FPN.
3. Post everything to the address provided on the notice — this is usually DVSA Fixed Penalty Office, but check your FPN to confirm the full address.

**Important:** Do not send cash through the post.

For more on fines and penalties, visit: [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)

If you’re unsure or have lost your notice, contact DVSA enforcement directly."
"What are the consequences of having incorrect number plates on my vehicle, and how can I avoid them?","Incorrectly displayed number plates can result in a fine of up to £1,000 and failure of the MOT test. To avoid these issues, ensure your number plates are displayed correctly without any alterations. They should be legible and show your registration number exactly as it appears. Regularly check the plates for damage or wear to maintain compliance.",f1946d415f,26-45,male,secondary,retail,high,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,number plates,consequences of incorrect number plates,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1173.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1173.txt,vehicle registration,vehicle registration,Driving and transport | instructional | medium | UK-wide | False | False,"Using incorrect number plates on your vehicle can lead to serious consequences. Here's what you need to know:

### Consequences of incorrect number plates:
1. **Fines** – You can be fined up to £1,000 if your number plates don’t follow the rules.
2. **MOT failure** – Your vehicle could fail its MOT test if the plates are incorrect or damaged.
3. **Vehicle can be seized** – In certain cases (for example, plates used to hide a vehicle’s identity), the police can seize your car.
4. **Penalty points** – In some cases involving fraudulent or cloned plates, you may also receive penalty points on your licence.

### Common mistakes to avoid:
- Using the wrong font, spacing or size
- Having a background image on the plate
- Misrepresenting characters (e.g. using ""5"" instead of ""S"")
- Displaying dirty or unreadable plates
- Using a plate not issued to your vehicle (like cloned or fake plates)

### How to avoid problems:
1. **Buy plates from a registered supplier** – They will make sure they meet legal standards.
2. **Provide correct documents** – You need ID and proof you’re allowed to use the registration number.
3. **Keep plates clean and visible** – So they’re always easy to read.

Check the full guidance here: [Driving and transport on GOV.UK](https://www.gov.uk/browse/driving)

If you’re unsure whether your number plates are legal, you can contact the DVLA or ask a professional at an MOT test centre."
What should I do if I need to find a theory test centre in Northern Ireland instead of Scotland?,"If you need to find a theory test centre in Northern Ireland instead of Scotland, you should use the specific service provided for Northern Ireland. This service is different from the one used in Scotland, so it's important to access the correct resources. You can find the nearest centre by using your postcode on the relevant Northern Irish website. Additionally, you should check for any special instructions or requirements that apply to centres in Northern Ireland. It's advisable to contact the centre directly for any further clarification or assistance.",d234b42d21,26-45,female,secondary,student,low,Scotland,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,Driving Tests,Northern Ireland Theory Test Centres,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1382.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1382.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"To find a theory test centre in **Northern Ireland**, you need to book through a different service than for Scotland.

Follow these steps:

1. Go to the **NI Direct** website: [nidirect.gov.uk](https://www.nidirect.gov.uk/articles/book-your-theory-test)
2. Choose **book your theory test**.
3. Select the type of test you need (car, motorbike, etc.).
4. Enter your details and pick a test centre in Northern Ireland from the list shown.
5. Choose a date and time, then confirm your booking.

Theory tests in Northern Ireland are managed by the **Driver & Vehicle Agency (DVA)**, while Scotland uses the **Driver & Vehicle Standards Agency (DVSA)** in Great Britain, so the process is different.

If you need help booking, call the DVA booking line on 0345 600 6700."
I need to change my address on my driving licence and also my name. How do I do this and what forms do I need to fill out?,"If you want to change both your address and name on your driving licence, you need to apply by post. This is because changing your name requires additional documentation. You'll need to provide your driving licence number, National Insurance number, and passport number. If you're moving abroad, you can't update your British driving licence, so you should contact the local driving authority in your new country.",f71a081c51,under18,male,secondary,retired,low,Scotland,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,Licences,Driving Licences,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1028.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1028.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"To update both your address and name on your driving licence, you need to do **each change separately**.

### 1. Change your address

This is free to do.

#### If you have a photocard driving licence:
You can do it online or by post.

**Online:**
Go to [www.gov.uk/change-address-driving-licence](https://www.gov.uk/change-address-driving-licence)

**By post:**
- Fill in the **‘D1 application for a driving licence’** form (you can get this from a Post Office).
- Send it with your current photocard licence to:
  
  DVLA  
  Swansea  
  SA99 1BN

If you have a paper licence (not a photocard), you must get a new photocard licence.

---

### 2. Change your name

You must do this by post.

**What to do:**
1. Get a **D1 form** (available at a Post Office).
2. Fill in the form.
3. Send it with:
   - Your current driving licence.
   - Original documents showing your new name (like a marriage certificate or deed poll).
4. Send it to the address on the form:  
   
   DVLA  
   Swansea  
   SA99 1BN

The name change is also free if your licence is still valid.

---

If you're changing both at the same time, it's best to send everything together by post using the **D1 form**, with the documents for both changes.

More help is available here: [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)"
How do I report an illegal driving instructor?,"If you suspect someone is an illegal driving instructor, you can report them to the Driver and Vehicle Standards Agency (DVSA). They must display a green badge in their windscreen if they are an approved driving instructor or a pink badge if they are a trainee driving instructor. You can email or call the DVSA's intelligence unit. The contact details are available on the DVSA website. It's important to provide any evidence you have when reporting.",893dbebb96,18-25,female,secondary,retail,high,England,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,Driving Licences,Driving Test Process,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1123.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1123.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"If you think someone is working as a driving instructor illegally (for example, they’re not approved or registered), you can report them to the Driver and Vehicle Standards Agency (DVSA).

Here's how:

1. **Gather details** – Try to collect key information about the person such as their name, car registration, location, and how you found them.

2. **Report it to DVSA** – You can report them by email or post.  
   - **Email**: fraudandintegrity@dvsa.gov.uk  
   - **Post**:  
     DVSA Intelligence Team  
     The Axis Building  
     112 Upper Parliament Street  
     Nottingham  
     NG1 6LP  

3. **You can remain anonymous** – You don’t have to give your name if you don’t want to.

More information about driving instructors is available on the GOV.UK driving section: [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)

If you're unsure whether the instructor is registered, you can also check with DVSA by calling 0300 200 1122."
What information can I get from checking a vehicle's MOT history?,"When checking a vehicle's MOT history, you can see if it passed or failed each test, the mileage recorded during testing, and the date of the next test. You can also download copies of previous MOT certificates. If the test was in England, Scotland, or Wales, you'll see where each test took place and any parts that failed. Additionally, you might find out if the vehicle has been recalled for safety reasons, which is important before purchasing.",be76d72b0d,18-25,female,secondary,nurse,medium,England,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,Vehicle Registration and Safety,MOT History Check,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1065.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1065.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"When you check a vehicle’s MOT history, you can find out:

1. **If it’s passed or failed** previous MOT tests  
2. **The dates** of past MOT tests  
3. **Any MOT failures, advisories or defects**  
4. **Mileage recorded** at each MOT  
5. **The expiry date** of the current MOT  

This helps you see how well a car has been looked after and spot any recurring problems.

You can check a vehicle’s MOT history for free on the official GOV.UK website:  
[www.gov.uk/check-mot-history](https://www.gov.uk/check-mot-history)

You’ll need the vehicle’s registration number (number plate) to do it."
"How much does it cost to get a criminal record check for becoming a driving instructor, and where can I get it done?","The cost of a criminal record check for becoming a driving instructor is £8.22. You can get this check through the KnowYourPeople website. Before starting the process, you need to provide proof of your identity, such as a passport, driving licence, or recent utility bill. You must bring a printed page from your online application with barcodes and three original forms of ID. This check is required even if you already have one. It's important to ensure that the information you provide is accurate to avoid delays in your application process. Make sure you follow the steps carefully to complete the check successfully.",5.58E+14,65+,female,secondary,student,low,Scotland,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,Driving Instruction,Becoming a Driving Instructor,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1373.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1373.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"To become a driving instructor in Scotland, you need a criminal record check (also called a disclosure check).

Here’s what you need to know:

**Cost:**  
The criminal record check costs **£18**.

**Where to get it:**  
You can apply for this check through the **Disclosure and Barring Service** (DBS) when you apply to become a driving instructor.

However, if you're in Scotland, you may need to get your check through **Disclosure Scotland** instead, depending on where you'll be working.

**What to do next:**

1. Go to the official GOV.UK page for becoming a driving instructor:  
   [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)

2. Follow the steps to apply as an Approved Driving Instructor (ADI). When you begin the application, instructions will guide you to get the right disclosure check.

If you'd like help with doing this online, you could ask a trusted friend or family member, or call the DVSA (Driver and Vehicle Standards Agency) for support."
"After buying a used car, what are the steps I need to follow to register it, tax it, and insure it?","After buying the vehicle, you need to register it. If it has a V5C log book, you can register it directly. If not, you'll need to get a new log book for £25. Once registered, you must get an MOT for your vehicle every year once it's 3 years old. You should also register for MOT reminders to know when it's due. Before using the vehicle on the road, you must have insurance. Check if your vehicle is insured on the Motor Insurance Database and read about vehicle insurance. Finally, tax the vehicle before using it on the road. Check how much you'll have to pay to tax your vehicle and when you don't have to pay vehicle tax. Then, tax your vehicle.",83c32efdbe,65+,male,secondary,nurse,medium,Scotland,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,vehicle purchase and verification,vehicle registration and taxation,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1098.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1098.txt,vehicle registration and safety,vehicle registration and safety,Driving and transport | instructional | medium | UK-wide | False | False,"After buying a used car, you need to do three main things: register it in your name, tax it, and insure it before you drive it. Here's what to do:

### 1. Register the car in your name
The seller should give you the green ‘new keeper’ slip (V5C/2) from the logbook (V5C). They must also tell DVLA that the car has a new keeper.

- The seller can do this online at [www.gov.uk/sold-bought-vehicle](https://www.gov.uk/sold-bought-vehicle), or post the logbook to DVLA.
- You’ll then get a new V5C logbook in your name by post within around 5 working days.

### 2. Insure the car
You **must** have insurance before driving the car.

- Contact a car insurance provider and give details like the car’s registration number and your driving history.
- Choose the cover level (third party, third party fire and theft, or fully comprehensive).
- You can often start the insurance on the same day you buy the car.

### 3. Tax the car
You must tax it even if the previous owner had tax left.

- Use the 12-digit reference number on the green ‘new keeper’ slip (V5C/2).
- Go to [www.gov.uk/vehicle-tax](https://www.gov.uk/vehicle-tax) and follow the steps to tax the car online.
- You can pay monthly, every six months, or yearly.

Once all this is done, you're legally ready to drive the car.

Useful link:  
[Driving and transport – GOV.UK](https://www.gov.uk/browse/driving)

Let me know if the car was bought from a dealer or privately—some steps may differ slightly."
What are the legal requirements for having vehicle insurance in the UK?,"In the UK, you must have motor insurance to drive your vehicle on UK roads. The legal minimum is third-party insurance, which covers damage or injury to others but not your own vehicle. You should check with your insurance provider to ensure you meet these requirements. Always carry your insurance documents with you when driving to prove you have valid coverage.",4c949b6131,26-45,male,secondary,retired,medium,Scotland,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,Insurance,Vehicle insurance,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1100.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1100.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"In the UK, it’s a legal requirement to have motor insurance if you drive or keep a vehicle on public roads.

### Minimum legal cover:
- **Third party insurance** is the legal minimum. It covers:
  - Damage to other people’s property
  - Injuries to others
  - Injuries to passengers

It **does not** cover damage to your own vehicle or medical costs for yourself.

### When insurance is needed:
- Your vehicle **must be insured at all times**, even if you’re not using it, *unless* it has been officially declared off the road with a **Statutory Off Road Notification (SORN)**.

### Penalties for not having insurance:
- Fixed penalty of **£300**
- **6 penalty points** on your driving licence
- Possible court prosecution, unlimited fine, and disqualification from driving
- The police may also seize and destroy the vehicle

You can find more details here: [Driving and transport on GOV.UK](https://www.gov.uk/browse/driving)."
I'm a retired woman in Wales and I want to become a motorcycle trainer. How much does it cost to take the DVSA special test and what happens if I don't pass it?,"The DVSA special test costs £163. If you don't pass the test, you'll need to pay the full amount again if you want to take it again. This ensures that all trainers meet the highest standards before they can offer enhanced rider scheme training. It's important to prepare thoroughly as retaking the test can be costly.",ea276edaea,46-65,female,secondary,retired,low,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,motorcycle training,training fees,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1407.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1407.txt,transport,transport,Driving and transport | instructional | medium | UK-wide | False | False,"To become a DVSA-certified motorcycle trainer, you’ll need to pass an assessment called the DVSA instructor test, which includes a riding assessment, instruction ability test, and theory knowledge.

### How much it costs
The DVSA instructor assessment costs **£183**. You pay this directly to the Driver and Vehicle Standards Agency (DVSA).

### If you don’t pass
If you fail, you can take the test again, but you’ll need to pay the full fee each time you retake it. There’s no limit on how many times you can try.

You must pass the test before you can register as a certified instructor and start training learners.

You can read more or begin the application process here: [Becoming a motorcycle instructor](https://www.gov.uk/become-motorcycle-instructor)

If you’d like help preparing for the test or choosing an approved training body, I can assist with that too."
I'm modifying a goods vehicle and need to increase an axle weight. What steps do I need to take?,"To increase an axle weight, you can fit higher capacity tyres or get a declaration from the manufacturer that the vehicle complies with existing approvals. The weight can be increased up to the manufacturer's design weight, with a maximum of 10,170kg. You must ensure the vehicle still complies with all relevant regulations and provide proof of compliance.",1e17e96460,26-45,female,secondary,nurse,medium,Wales,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Driving and transport,Vehicle Approval,Vehicle Modification,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1449.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1449.txt,transport,Transport,Driving and transport | instructional | medium | UK-wide | False | False,"To increase the axle weight on your goods vehicle, you’ll need to follow these steps:

1. **Check if the vehicle can handle the extra weight**  
   Speak to the vehicle manufacturer or a qualified engineer first. They’ll tell you if the vehicle structure (like suspension and chassis) can support the increase.

2. **Get the vehicle modified**  
   If it's safe to do so, have the necessary upgrades carried out by a professional — such as strengthening the axles, brakes, or suspension.

3. **Apply for a new plating certificate**  
   After modification, you must apply to the Driver and Vehicle Standards Agency (DVSA) to get the new weight officially recognised.

   For goods vehicles over 3.5 tonnes, this is done through the *'notifiable alteration'* process.

4. **Provide full technical details**  
   You'll need to send evidence of the changes made, including:
   - A covering letter explaining the work
   - Engineering drawings or reports
   - A letter from the manufacturer confirming the new weight is safe

5. **Wait for DVSA inspection or approval**  
   DVSA might need to inspect the vehicle before updating its records. They’ll issue a new plating certificate and update the vehicle’s details on the DVSA system if approved.

6. **Update your operator’s licence (if applicable)**  
   If you operate under an HGV operator's licence, you’ll need to update the licence details with the new weights.

You can find more about modifying or upgrading a goods vehicle here:  
[https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)

If you're unsure, contact DVSA before doing any modifications."
What should I do if I need to inform DVLA that I've sold the vehicle of someone who has passed away?,"You must inform DVLA separately if you sell the vehicle, even if it's temporary. Write to DVLA Swansea and include the deceased's name, address, date of birth, and the date of death. Also mention that you've sold the vehicle. You don't need to send a death certificate, but you should include the deceased's driving licence if you have it.",5b95c2bfd0,26-45,male,secondary,student,low,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,licensing,vehicle sale after death,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1050.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1050.txt,transport,transport,Driving and transport | instructional | medium | UK-wide | False | False,"If the person who owned the vehicle has died and the vehicle has been sold, you need to let the DVLA know. Here’s what to do:

1. **Find the V5C log book** (vehicle registration certificate) of the person who passed away.

2. On the V5C, fill in section **6 (new keeper details)** with the buyer’s name and address.

3. Get the buyer to sign **section 8**.

4. As the person managing the estate (for example, executor or next of kin), sign the declaration.

5. Send the completed V5C to:
   **DVLA, Swansea, SA99 1BA**

6. Include a letter stating:
   - That the previous keeper has died
   - The date of the sale
   - Your name and relationship to the deceased

Keep a copy of the letter for your records.

The buyer will get a new V5C in their name from the DVLA.

For more details, visit: [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)"
"How does the body process alcohol, and why is it different for everyone?","The body processes alcohol differently for everyone due to various factors like weight, age, sex, and metabolism. These factors influence how quickly alcohol is absorbed and broken down in the body. For example, a heavier person may process alcohol more slowly than someone lighter. Additionally, eating before drinking can slow the absorption of alcohol into the bloodstream. Understanding these differences helps explain why the drink drive limit can't be measured exactly in terms of the number of drinks.",4e99359f0c,under18,male,tertiary,retail,low,Wales,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,driving,drink driving,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1219.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1219.txt,transport,transport,Driving and transport | instructional | medium | UK-wide | False | False,"When you drink alcohol, your body works to break it down. Most of the alcohol is processed by your liver. It takes your liver about one hour to remove one unit of alcohol from your body — but this can vary.

Here's how it works:

1. **Absorption**: Alcohol goes into your bloodstream through your stomach and small intestine.
2. **Processing**: Your liver changes most of the alcohol into water and carbon dioxide, which your body then gets rid of through breath, sweat, and urine.
3. **Time**: Your liver can only handle a certain amount per hour — drinking more than this means alcohol builds up in your system.

**Why it’s different for everyone**:

- **Body size and weight**: Smaller people often feel alcohol’s effects faster.
- **Gender**: Women usually break down alcohol more slowly than men.
- **Food**: Drinking on an empty stomach means alcohol is absorbed faster.
- **Age, health, and regular drinking habits** can also change how quickly your body processes alcohol.

This is why it’s hard to say exactly how much alcohol is “safe” for everyone — and why driving or working after drinking can still be risky, even if you feel fine.

To learn more about how alcohol affects driving, visit [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)."
I'm a teacher and I need to explain the seat belt law to my students. What are the key points I should cover?,"The seat belt law requires everyone in a vehicle to wear a seat belt if one is fitted. There are very few exceptions to this rule. If you don't wear a seat belt when required, you can be fined up to £500. For children, they must use the correct car seat until they are 135cm tall or turn 12, whichever comes first. Children aged 12 or 13, or those over 135cm, must wear a seat belt. Failure to follow these rules can result in a fine of up to £500 for the child's parent or guardian.",dacd4f3659,46-65,male,tertiary,teacher,low,Wales,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,road safety,seat belt law,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1222.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1222.txt,transport,transport,Driving and transport | instructional | medium | UK-wide | False | False,"Here are the key points of the UK seat belt law that you can explain to your students:

1. **Wearing a seat belt is a legal requirement**  
   - Drivers and passengers must wear a seat belt if one is fitted. This applies to both front and back seats.

2. **Responsibility depends on age**  
   - *Drivers* are legally responsible for ensuring that children under 14 use the correct car seat or wear a seat belt.  
   - *Passengers aged 14 and over* are responsible for wearing their own seat belt.

3. **Children must use appropriate restraints**  
   - Children must use a child car seat until they are 12 years old or 135 cm tall, whichever comes first.  
   - After that, they must use a seat belt.

4. **Exemptions**  
   - Some people may be exempt on medical grounds, but they must carry a certificate from their doctor.

5. **Penalties for not wearing a seat belt**  
   - You can be fined up to £500 if you or your passengers do not wear a seat belt when required.

6. **Taxis and exemptions**  
   - Licensed taxi drivers may be exempt when carrying passengers, but passengers must still wear a seat belt if available.

You can find more information at: [https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)"
